STARNR FLUX FLUXERR
1 69804.17382133007 813.5861929052955
2 10960.136436849833 532.672923662838
3 nan nan
4 nan nan
5 nan nan
6 nan nan
7 nan nan
8 16251.488020777702 693.0488796858336
9 nan nan
10 nan nan
11 12164.068347862922 591.513103788179
12 nan nan
13 171112.99292349815 895.8534907721859
14 nan nan
15 nan nan
16 nan nan
17 nan nan
18 nan nan
19 16899.453068649396 655.8682517825429
20 22685.51174364984 758.4667125380786
21 11670.284642577171 583.6591211713927
22 40155.58143147826 780.5410907102261
23 59208.89384314418 848.060145422426
24 nan nan
25 nan nan
26 nan nan
27 nan nan
28 nan nan
29 nan nan
30 13221.590568777174 634.8970927318654
31 14150.900322258472 646.5836650527802
32 nan nan
33 nan nan
34 13947.837327092886 635.5998664140411
35 nan nan
36 nan nan
37 168554.2274747342 897.5742712375925
38 1502463.7215576172 1531.5194569596229
39 nan nan
40 nan nan
41 nan nan
42 nan nan
43 nan nan
44 nan nan
45 65733.07408048213 815.6850297443391
46 nan nan
47 nan nan
48 nan nan
49 26364.448379822075 728.7234564473429
50 23608.377980038524 759.5769196887358
51 11335.204966723919 577.2617075291693
52 749161.3367843628 1201.5188582167118
53 nan nan
54 21917.584419101477 750.7647927599239
55 24275.353084385395 743.6814634092709
56 nan nan
57 593725.7171554565 1136.0436975913005
58 nan nan
59 45758.914174348116 752.0301103448148
60 nan nan
61 24026.52624506253 710.6402792167867
62 nan nan
63 41103.92237830162 798.6718511567051
64 nan nan
65 61265.261352822185 831.4563922285608
66 nan nan
67 67284.34776970744 820.100512861862
68 14631.791242718697 628.3309265792178
69 nan nan
70 nan nan
71 nan nan
72 12252.78299176693 619.4694576293062
73 nan nan
74 nan nan
75 32231.266891002655 791.6387834744938
76 31169.74498901004 777.0731231962313
77 361930.579662323 1021.1003409312916
78 53662.74698382616 826.1941338609055
79 nan nan
80 nan nan
81 20971.15944981575 720.0242625069192
82 nan nan
83 nan nan
84 nan nan
85 75441.52697610855 783.2516639416624
86 nan nan
87 nan nan
88 nan nan
89 279573.40869760513 940.9621671070298
90 nan nan
91 nan nan
92 nan nan
93 nan nan
94 nan nan
95 9850.591707717627 522.3383528503325
96 nan nan
97 nan nan
98 nan nan
99 nan nan
100 nan nan
101 nan nan
102 nan nan
103 nan nan
104 nan nan
105 nan nan
106 nan nan
107 nan nan
108 nan nan
109 nan nan
110 nan nan
111 20639.03279772401 697.3167520646273
112 nan nan
113 18604.605424508452 676.8937102460793
114 501382.65831279755 1087.6323984935948
115 74899.22025185823 790.7528494084964
116 nan nan
117 nan nan
118 nan nan
119 13645.567111074924 634.4844427223103
120 20027.217963932082 715.2982114125548
121 24192.33127221465 751.0212469232
122 65205.59122186899 808.3886818011852
123 nan nan
124 nan nan
125 nan nan
126 nan nan
127 nan nan
128 nan nan
129 nan nan
130 nan nan
131 nan nan
132 13573.40443366766 635.6021289172809
133 nan nan
134 nan nan
135 nan nan
136 nan nan
137 nan nan
138 15797.005383759737 667.6907325301443
139 nan nan
140 49525.980805397034 777.9017945900158
141 nan nan
142 nan nan
143 nan nan
144 nan nan
145 nan nan
146 13301.244304180145 603.8939841493678
147 nan nan
148 nan nan
149 nan nan
150 nan nan
151 9384.511688098311 526.0229294569326
152 15798.93363482505 660.0888548253549
153 nan nan
154 35093.266480412334 761.5242754147096
155 nan nan
156 nan nan
157 nan nan
158 nan nan
159 nan nan
160 nan nan
161 nan nan
