STARNR FLUX FLUXERR
1 124434.21868896484 529.0455173747772
2 20712.456512451172 399.3446761246744
3 nan nan
4 15350.105438232422 398.72751550691163
5 nan nan
6 nan nan
7 nan nan
8 29744.056579589844 453.34515910338195
9 nan nan
10 nan nan
11 22967.704864501953 403.8870535362085
12 nan nan
13 302759.2807312012 682.1596080577319
14 nan nan
15 nan nan
16 nan nan
17 nan nan
18 nan nan
19 33646.6318359375 435.9225392258103
20 37987.61022949219 427.1357417309089
21 23069.967529296875 415.16008871455193
22 77084.27896118164 510.7048962545294
23 104667.60430908203 518.2809021234135
24 nan nan
25 nan nan
26 nan nan
27 nan nan
28 nan nan
29 nan nan
30 26283.51547241211 418.090752090551
31 24270.564361572266 406.41160003296835
32 nan nan
33 nan nan
34 26450.664184570312 416.7420109450491
35 nan nan
36 nan nan
37 297893.49548339844 680.6942920116534
38 2691118.883605957 1692.0270316126773
39 nan nan
40 nan nan
41 nan nan
42 nan nan
43 nan nan
44 nan nan
45 117303.16510009766 521.2606843800156
46 nan nan
47 16960.60336303711 414.9614953619873
48 nan nan
49 47884.51672363281 456.60001018990346
50 42299.09362792969 454.0215716173588
51 23313.375427246094 423.4500268413424
52 1342023.1464233398 1230.5222822680632
53 nan nan
54 38053.480529785156 442.19215900676096
55 42255.68603515625 425.3599096105055
56 nan nan
57 1072275.775390625 1113.435266484481
58 nan nan
59 86386.9958190918 491.34908087937424
60 nan nan
61 48818.44430541992 455.58462361418833
62 nan nan
63 73597.54190063477 490.49513648185496
64 nan nan
65 110697.70623779297 521.4222130553877
66 16443.421447753906 389.7162404197123
67 121869.67834472656 536.4419438927948
68 28512.346557617188 423.14213572842
69 nan nan
70 nan nan
71 nan nan
72 21990.498657226562 406.94853124956927
73 nan nan
74 nan nan
75 58130.56088256836 457.9088803398464
76 57476.54998779297 469.1103237183038
77 642314.3093566895 902.283449994125
78 89802.18231201172 493.17345504669584
79 nan nan
80 nan nan
81 35507.57470703125 424.24462214642864
82 nan nan
83 nan nan
84 nan nan
85 137218.53833007812 547.7336774628724
86 18743.72021484375 401.26832746914226
87 nan nan
88 nan nan
89 487045.8227233887 807.6199647775705
90 nan nan
91 nan nan
92 nan nan
93 nan nan
94 nan nan
95 20302.000061035156 405.1085017539861
96 nan nan
97 nan nan
98 nan nan
99 nan nan
100 nan nan
101 nan nan
102 nan nan
103 19197.34033203125 403.0268091414252
104 nan nan
105 nan nan
106 15145.435546875 399.40721903519926
107 nan nan
108 nan nan
109 nan nan
110 nan nan
111 38447.0185546875 438.5132310321813
112 nan nan
113 34030.94723510742 427.95928622391546
114 889403.8443603516 1028.3981466863454
115 138739.70806884766 548.8067374613834
116 nan nan
117 nan nan
118 nan nan
119 23799.102294921875 389.1733204917423
120 33236.47927856445 424.4607504232898
121 42625.43441772461 441.74893832551396
122 117401.58639526367 531.5013240822836
123 nan nan
124 nan nan
125 nan nan
126 nan nan
127 nan nan
128 nan nan
129 nan nan
130 nan nan
131 nan nan
132 27373.661895751953 407.3412695162058
133 nan nan
134 nan nan
135 nan nan
136 nan nan
137 17291.257446289062 410.7891266866784
138 28667.474639892578 407.63698307825865
139 nan nan
140 89891.8671875 506.01882166781115
141 nan nan
142 nan nan
143 nan nan
144 nan nan
145 nan nan
146 25590.004516601562 405.6702251502892
147 nan nan
148 nan nan
149 nan nan
150 nan nan
151 19628.659759521484 393.54980103200916
152 31962.46759033203 422.34943804987466
153 nan nan
154 64130.87423706055 468.28791117113354
155 nan nan
156 nan nan
157 16472.707061767578 379.6175726100231
158 nan nan
159 nan nan
160 19052.315826416016 390.98398465579663
161 nan nan
