STARNR FLUX FLUXERR
1 152405.6915000528 447.0445627704246
2 19660.07288204122 254.8508850932492
3 13831.716351851821 248.13437863552855
4 14484.846987748519 246.00600928433417
5 nan nan
6 nan nan
7 nan nan
8 28084.180930435658 275.7828460111174
9 nan nan
10 7690.799504600465 217.54859868946076
11 21887.245709259063 257.6087804553645
12 nan nan
13 294358.74759054184 585.474760259153
14 nan nan
15 12573.464776530862 236.2344479563578
16 11445.120378479362 235.17024507059762
17 nan nan
18 6381.022475905716 202.09747021284227
19 30546.98464391753 271.4443390836896
20 36168.41809608787 275.3296287724597
21 21609.210507836193 254.1450089562897
22 74277.70788590237 356.11503917599345
23 97712.42856645584 379.3570422879313
24 11040.160361133516 259.66628062456624
25 nan nan
26 nan nan
27 nan nan
28 6757.687846401706 206.44687392237097
29 nan nan
30 25075.208448968828 253.25202090030376
31 24134.584613042884 263.1783580619057
32 nan nan
33 8732.47358237207 215.16644921600835
34 26212.648678407073 263.2206340904879
35 nan nan
36 nan nan
37 289532.9401974678 584.6522460226223
38 2571770.36958313 1693.3694730721834
39 nan nan
40 3652.9884438090958 166.69046083101355
41 nan nan
42 nan nan
43 nan nan
44 nan nan
45 113383.47657872178 403.8425081643235
46 4147.781457364559 184.2034124018959
47 15318.486909687519 231.22848824736246
48 nan nan
49 45673.80653195828 309.1902507769886
50 41099.34159538895 305.2813864403157
51 22096.873724214733 267.3559451524993
52 1283563.989830017 1178.1458961928545
53 6149.118097141385 211.55230985862232
54 37190.85532832146 287.332782101674
55 41674.61674928665 291.35076347893914
56 nan nan
57 1006930.777923584 1034.9217570782469
58 7518.6772949285805 220.39662366382137
59 80503.63679248095 353.25310807099265
60 nan nan
61 44915.07667505741 312.4631871993841
62 nan nan
63 70840.97260195017 343.47881975910525
64 6276.327060863376 211.6264423787623
65 107607.46802705526 393.68579341496127
66 15832.117121423129 242.27776107529496
67 116724.26018109918 402.77002536044984
68 27110.929680414498 263.6771087732874
69 3422.423501037061 165.84207638387915
70 10715.696553522721 240.2826533996582
71 nan nan
72 21634.603396058083 260.9411320708813
73 nan nan
74 nan nan
75 55806.201625816524 327.55959027196593
76 54541.05368856341 317.45119413582955
77 625524.9731903076 831.8005711712427
78 87532.16989332438 363.3900568322433
79 nan nan
80 nan nan
81 33723.730336581706 270.1087105644061
82 nan nan
83 4368.200254474767 196.99431508957892
84 10965.80920872488 241.58131691901627
85 129892.93897527456 424.2534707174138
86 17103.918613508344 258.0044654637178
87 nan nan
88 nan nan
89 493952.47984695435 735.0208862347341
90 nan nan
91 nan nan
92 8414.218551136553 221.2034398285709
93 nan nan
94 nan nan
95 20442.238936454058 239.45317542120696
96 nan nan
97 nan nan
98 nan nan
99 8146.931450381875 228.13775100815425
100 nan nan
101 13776.428241722286 252.18024078093833
102 6219.43252594769 209.63969305291474
103 17955.021327845752 252.3675106877758
104 nan nan
105 nan nan
106 14013.124466709793 232.75516324815817
107 nan nan
108 5508.350063897669 202.54646504749192
109 3463.8137071318924 155.47107763647008
110 nan nan
111 37978.96280967817 290.5651431161419
112 nan nan
113 31374.675589352846 279.476220403993
114 870173.3773651123 966.8910906665378
115 129607.59959670901 418.84599500209725
116 nan nan
117 nan nan
118 nan nan
119 23198.593981879763 250.8914024871717
120 31779.820626880974 262.9567590854867
121 41510.54773530364 293.75503335739245
122 111434.6503303498 392.8075719798898
123 5895.730755269527 193.0903363078118
124 nan nan
125 nan nan
126 nan nan
127 5791.087714985013 209.9005337530713
128 nan nan
129 nan nan
130 6215.449498690665 212.57396150470134
131 2769.8889455497265 137.83047189629113
132 26204.27938120067 267.832474715687
133 nan nan
134 nan nan
135 nan nan
136 nan nan
137 16287.470021501184 240.59933607496583
138 28272.23098852113 285.54219514322983
139 nan nan
140 86776.27041336894 361.3270386068972
141 nan nan
142 nan nan
143 nan nan
144 nan nan
145 nan nan
146 25397.26361142099 253.13953319884163
147 3598.2250961065292 167.63890217160593
148 10065.5984127298 231.76110306266293
149 nan nan
150 5858.703271895647 205.1268242958861
151 18318.98288668692 235.1694812061018
152 29096.15925373137 267.935023487446
153 nan nan
154 60313.038508569356 326.281510146101
155 nan nan
156 nan nan
157 16093.742297418416 234.5771976280595
158 nan nan
159 8271.813824444078 229.08906492313943
160 18301.5440418832 261.4941221346088
161 3154.7065874431282 153.14265196904427
