STARNR FLUX FLUXERR
1 74755.88014745712 338.5551304739588
2 4800.660118401051 195.06484075557805
3 4392.582245498896 187.64879772879576
4 2444.7543257176876 148.1055174300164
5 nan nan
6 nan nan
7 nan nan
8 5899.888928234577 177.54896871427866
9 nan nan
10 nan nan
11 4399.233878985047 182.75880258549887
12 nan nan
13 46635.275440335274 293.6600731128585
14 nan nan
15 2491.082367941737 157.86245602800358
16 nan nan
17 nan nan
18 nan nan
19 9677.111592128873 203.36130106626064
20 8003.268566578627 199.55956287414915
21 4406.606066375971 194.19133902819777
22 11863.498658627272 215.3248252053893
23 20155.577549993992 241.4108386939999
24 5906.5195879638195 188.12785958686283
25 nan nan
26 nan nan
27 nan nan
28 nan nan
29 nan nan
30 5017.352668374777 186.24191586148078
31 3945.495999902487 178.6193361552303
32 nan nan
33 nan nan
34 4583.819943010807 175.18524619213355
35 nan nan
36 nan nan
37 46357.609908759594 287.25169665546855
38 512289.05809020996 780.2559308697824
39 nan nan
40 nan nan
41 nan nan
42 nan nan
43 nan nan
44 nan nan
45 27709.828255176544 247.87530505247673
46 nan nan
47 2854.3525039851665 170.60098354686647
48 nan nan
49 10811.133350014687 210.7628450834629
50 6690.29255476594 186.70502826149325
51 3641.4553222954273 180.9191995329505
52 255960.40062713623 557.3534601279529
53 nan nan
54 8113.607406891882 235.10018548215805
55 7481.897676885128 187.8745679209519
56 nan nan
57 286455.52979278564 587.8419757954345
58 nan nan
59 23048.822042435408 241.57046586457406
60 nan nan
61 9590.46676503867 200.74268853161593
62 nan nan
63 12197.225202769041 209.59120327056505
64 nan nan
65 16849.862856686115 226.20734828814838
66 2753.741751804948 159.18977029032956
67 19637.00349996984 236.5359064309855
68 6861.805264316499 186.9850128614324
69 nan nan
70 nan nan
71 nan nan
72 3765.335185199976 179.87399323521677
73 nan nan
74 nan nan
75 10278.1211887002 205.82977665390754
76 12211.103189422749 212.01362638046663
77 92916.27044677734 371.2173371508491
78 13804.371382981539 212.2784902190233
79 nan nan
80 nan nan
81 6357.8528572916985 188.36659251323954
82 nan nan
83 nan nan
84 2773.193979293108 161.07419179890948
85 29219.70866537094 252.10790524948285
86 5264.050154924393 177.94409776306418
87 nan nan
88 nan nan
89 33277.78713148832 265.52982391265385
90 nan nan
91 nan nan
92 nan nan
93 nan nan
94 nan nan
95 3235.221967354417 170.58439400098877
96 nan nan
97 3736.0282468497753 178.81621028460165
98 nan nan
99 nan nan
100 nan nan
101 nan nan
102 nan nan
103 4988.363044053316 170.02490904583635
104 nan nan
105 nan nan
106 nan nan
107 nan nan
108 nan nan
109 nan nan
110 nan nan
111 6093.886548876762 203.01343195031725
112 nan nan
113 22241.877362012863 238.63955786346594
114 124628.05904006958 408.819080994402
115 32026.415292739868 261.3055695201146
116 nan nan
117 nan nan
118 nan nan
119 3595.7972344383597 173.31278045774673
120 5532.454843211919 193.31565481892895
121 7215.244144428521 197.00504633447844
122 21002.4516569376 237.3572813374518
123 nan nan
124 nan nan
125 nan nan
126 nan nan
127 2811.994148565922 161.07381197277968
128 nan nan
129 nan nan
130 nan nan
131 nan nan
132 4546.126590847969 170.39835766820204
133 nan nan
134 nan nan
135 nan nan
136 nan nan
137 3003.491777151823 162.03182694305735
138 6742.889461115003 191.12696269532623
139 3617.5398852825165 176.28587536761412
140 13762.531034648418 235.05339615670266
141 nan nan
142 nan nan
143 nan nan
144 nan nan
145 2250.282977890456 159.27827751105815
146 4570.362945361063 182.25350978072433
147 nan nan
148 nan nan
149 nan nan
150 nan nan
151 3267.3372921943665 140.61278207557174
152 9212.842301942408 203.75760805868543
153 nan nan
154 14368.977479547262 216.22374302215007
155 nan nan
156 nan nan
157 2711.1612768769264 171.4339077663916
158 nan nan
159 nan nan
160 3666.25550930202 157.23187214442876
161 nan nan
