STARNR FLUX FLUXERR
1 142355.47661590576 422.73280973579995
2 25277.310985565186 239.69044267223222
3 17223.65940093994 220.3284707718315
4 18559.093101501465 229.51435178873228
5 nan nan
6 nan nan
7 9525.12260055542 200.20536142843414
8 35973.22064971924 273.0720289178204
9 13753.677719116211 237.00349583039412
10 9848.248947143555 209.0655658217726
11 28132.9751663208 247.98780039037416
12 nan nan
13 373458.19232177734 641.7934696586848
14 nan nan
15 15905.371849060059 222.0200654489929
16 16089.955108642578 226.4467521712526
17 nan nan
18 nan nan
19 40274.95170593262 275.39608542625115
20 46584.07701873779 287.1994861778827
21 27945.12566757202 247.78274624589622
22 93595.05537414551 372.79554542941713
23 127235.72116851807 405.6811128571054
24 14003.381572723389 250.01221260758822
25 nan nan
26 nan nan
27 nan nan
28 9229.600170135498 204.0892292363696
29 nan nan
30 32658.253288269043 261.14475189784423
31 30468.241428375244 255.42307265578393
32 nan nan
33 11331.844539642334 203.12173620800363
34 33059.29132461548 260.92029188966427
35 nan nan
36 nan nan
37 367917.02350616455 637.6366030353947
38 3314495.2764282227 1832.40258190387
39 nan nan
40 nan nan
41 11273.529968261719 217.00838188824278
42 nan nan
43 nan nan
44 nan nan
45 144406.57122802734 426.36647871992164
46 nan nan
47 20632.019748687744 233.28348071187312
48 nan nan
49 59597.95517730713 313.886879729946
50 51539.254455566406 295.8126855426902
51 27698.89585876465 251.69797688255753
52 1650794.798614502 1300.8698356073583
53 nan nan
54 47780.94736099243 295.5008126391292
55 52616.022731781006 299.3337355301611
56 nan nan
57 1306465.196838379 1160.547066788839
58 9264.084728240967 203.38063336936514
59 104120.83209228516 375.4419674989367
60 nan nan
61 59066.20203399658 313.4771182700486
62 nan nan
63 90325.28943634033 357.54872311510934
64 nan nan
65 138596.17460632324 420.8403673506976
66 20398.449729919434 231.77967772838397
67 149587.40215301514 434.8107081753734
68 35060.68016433716 263.9432293511476
69 nan nan
70 12946.738735198975 215.74231107764544
71 nan nan
72 27727.30913543701 251.27418512499347
73 nan nan
74 9157.170135498047 199.2638158280119
75 71840.14749908447 327.21575968919507
76 70293.39116287231 329.60513032836997
77 803543.8513183594 920.7196204968541
78 111952.44892120361 386.0059035645309
79 nan nan
80 nan nan
81 43755.54727935791 282.82430628628504
82 nan nan
83 nan nan
84 14468.907371520996 249.95124190362128
85 167900.5030593872 454.8702742710335
86 22019.83953857422 237.985754500333
87 nan nan
88 nan nan
89 622389.4486694336 813.4110854500973
90 11044.843273162842 207.3024816751874
91 nan nan
92 10250.404472351074 202.49459330558227
93 nan nan
94 nan nan
95 24645.259853363037 238.98439962954984
96 10419.664367675781 206.69079507854877
97 nan nan
98 nan nan
99 10213.859951019287 198.74927579160018
100 nan nan
101 17396.02198791504 231.35963642010012
102 nan nan
103 23290.14926147461 240.3275445601615
104 nan nan
105 nan nan
106 18705.97166442871 239.88601385756155
107 nan nan
108 nan nan
109 nan nan
110 nan nan
111 47391.00330734253 290.0782531392795
112 nan nan
113 39900.37216949463 268.6359218189483
114 1112885.6138153076 1074.2130436212071
115 165319.10159301758 448.48490645613674
116 nan nan
117 nan nan
118 nan nan
119 30305.95715713501 255.78115857774597
120 40546.19427871704 272.909401151513
121 52147.17887878418 295.6934271367351
122 142754.05055999756 425.00549149499625
123 nan nan
124 nan nan
125 nan nan
126 nan nan
127 7820.798740386963 197.60256338425944
128 nan nan
129 nan nan
130 8843.949649810791 213.03647596707063
131 nan nan
132 34626.28737640381 271.4159541984985
133 nan nan
134 nan nan
135 nan nan
136 nan nan
137 20624.166473388672 230.92999081927414
138 34972.06601333618 264.0944310853098
139 nan nan
140 110716.06761169434 386.65247494753817
141 nan nan
142 nan nan
143 nan nan
144 nan nan
145 10782.263671875 210.43621436038774
146 32431.716590881348 259.4852141796689
147 nan nan
148 13079.834358215332 212.14120238091334
149 nan nan
150 nan nan
151 24592.822578430176 243.0068504717937
152 38293.76904678345 275.2428591267068
153 nan nan
154 79403.77751159668 340.78982728765754
155 nan nan
156 nan nan
157 20961.846660614014 232.39309976481303
158 nan nan
159 11045.985984802246 221.1683662289839
160 23521.676288604736 244.14631102753629
161 nan nan
