STARNR FLUX FLUXERR
1 8532.3511800766 178.92706997526696
2 nan nan
3 nan nan
4 nan nan
5 nan nan
6 nan nan
7 nan nan
8 nan nan
9 nan nan
10 nan nan
11 nan nan
12 nan nan
13 27483.376918792725 230.64278884553872
14 nan nan
15 nan nan
16 nan nan
17 nan nan
18 nan nan
19 2688.3731327056885 126.805737822282
20 3377.026866912842 142.9847536028874
21 nan nan
22 6848.713090896606 171.14162752722802
23 9137.28477191925 179.80195062192382
24 nan nan
25 nan nan
26 nan nan
27 nan nan
28 nan nan
29 nan nan
30 2080.444493293762 117.73195315517232
31 nan nan
32 nan nan
33 nan nan
34 nan nan
35 nan nan
36 nan nan
37 21192.93060016632 217.1224619135644
38 259447.84469604492 534.4442696988531
39 nan nan
40 nan nan
41 nan nan
42 nan nan
43 nan nan
44 nan nan
45 nan nan
46 nan nan
47 nan nan
48 nan nan
49 3654.193872451782 151.0333548836632
50 2773.613251686096 134.9864507021684
51 nan nan
52 130447.93117332458 394.24502043642354
53 nan nan
54 3878.056332588196 159.49381509586198
55 3977.9175996780396 153.80458566206246
56 nan nan
57 85272.30167007446 332.7739475612177
58 nan nan
59 6747.369003295898 164.62064169847525
60 nan nan
61 3111.92702960968 143.0100604433146
62 nan nan
63 5792.298017501831 163.97506013669357
64 nan nan
65 7760.885702133179 169.201045429436
66 nan nan
67 9366.383686065674 175.0225072937398
68 2182.810785293579 119.05483591638823
69 nan nan
70 nan nan
71 nan nan
72 nan nan
73 nan nan
74 nan nan
75 3694.2057056427 145.18401018169655
76 4666.758247375488 155.7353640517561
77 48575.54715538025 271.4399719055458
78 8845.183073997498 182.3877511224122
79 nan nan
80 nan nan
81 3494.872735977173 150.4360799940325
82 nan nan
83 nan nan
84 nan nan
85 10496.27955532074 185.50807513734304
86 nan nan
87 nan nan
88 nan nan
89 45775.487562179565 264.9921819145427
90 nan nan
91 nan nan
92 nan nan
93 nan nan
94 nan nan
95 nan nan
96 nan nan
97 nan nan
98 nan nan
99 nan nan
100 nan nan
101 nan nan
102 nan nan
103 nan nan
104 nan nan
105 nan nan
106 nan nan
107 nan nan
108 nan nan
109 nan nan
110 nan nan
111 3606.287830352783 148.31567549169446
112 nan nan
113 3502.722625732422 148.06218870491742
114 56872.75312614441 289.2783708564069
115 12860.969886779785 184.27193145453504
116 nan nan
117 nan nan
118 nan nan
119 nan nan
120 2977.2983016967773 139.40654771880335
121 4792.959101676941 170.6600899074867
122 10957.202651023865 184.5954939212699
123 nan nan
124 nan nan
125 nan nan
126 nan nan
127 nan nan
128 nan nan
129 nan nan
130 nan nan
131 nan nan
132 nan nan
133 nan nan
134 nan nan
135 nan nan
136 nan nan
137 nan nan
138 nan nan
139 nan nan
140 8425.000641822815 187.74085519110042
141 nan nan
142 nan nan
143 nan nan
144 nan nan
145 nan nan
146 nan nan
147 nan nan
148 nan nan
149 nan nan
150 nan nan
151 nan nan
152 2264.3954095840454 121.87846346115401
153 nan nan
154 5262.991461753845 166.90018509111147
155 nan nan
156 nan nan
157 nan nan
158 nan nan
159 nan nan
160 nan nan
161 nan nan
