STARNR FLUX FLUXERR
1 506804.1661224365 755.7034040466507
2 33253.56922912598 303.83192247100493
3 31832.590408325195 300.28531758545483
4 18275.256927490234 265.638625713252
5 nan nan
6 nan nan
7 9932.587707519531 240.07606086278085
8 42874.1432800293 314.824169216061
9 13933.34602355957 280.1074069148642
10 16184.213104248047 274.1460353366357
11 30940.27406311035 287.8986990313271
12 nan nan
13 339792.77406311035 633.9414905541717
14 15731.921936035156 260.21616626573217
15 16276.488952636719 274.5729129031523
16 16692.993713378906 259.95962586539883
17 nan nan
18 nan nan
19 69848.14579772949 356.21081083278534
20 57388.02900695801 337.1426796808769
21 30756.05029296875 299.80473279722787
22 90363.3685913086 410.2223822429322
23 147933.2882080078 457.0414456661897
24 47350.31819152832 358.31085537929437
25 nan nan
26 nan nan
27 nan nan
28 16315.986679077148 268.01918393835984
29 nan nan
30 39296.12957763672 310.16737781616
31 30526.536209106445 292.81711398696
32 nan nan
33 13859.354995727539 244.61229032267428
34 37071.497817993164 310.3269766850702
35 nan nan
36 nan nan
37 345431.5527648926 639.0974536781159
38 3771548.815307617 1959.788670851889
39 nan nan
40 nan nan
41 16367.724990844727 258.5497548311864
42 10981.65103149414 237.6133292200218
43 nan nan
44 nan nan
45 207847.20545959473 517.8418537409271
46 nan nan
47 21336.28840637207 275.09317108408857
48 nan nan
49 81130.48229980469 376.96350856003113
50 49746.0871887207 329.9113750863661
51 27251.631759643555 286.69712210342766
52 1878861.617553711 1394.7548422160985
53 nan nan
54 55738.58134460449 349.18857667291667
55 57102.29188537598 334.45165052652527
56 9337.122283935547 245.43457517539846
57 2090025.7752685547 1468.2424262585607
58 10705.357666015625 245.96078178595425
59 168831.39178466797 478.6687239777142
60 nan nan
61 72276.45709228516 368.63038206521037
62 nan nan
63 92269.92060852051 392.3008110635052
64 8380.279281616211 244.09051004392992
65 125281.26539611816 432.0146344849671
66 20830.41535949707 273.78725502439653
67 151470.2733001709 467.1501162143723
68 50960.61749267578 330.5703029681701
69 nan nan
70 13240.891815185547 252.16418055762566
71 nan nan
72 27471.28256225586 287.2619690422528
73 nan nan
74 9626.926895141602 251.62386919460147
75 79764.18252563477 374.9699467530932
76 89067.26118469238 385.8221771099395
77 711662.7929534912 914.0818798526482
78 101915.3218536377 397.2338718143582
79 nan nan
80 nan nan
81 48242.622131347656 327.6186398700593
82 nan nan
83 nan nan
84 27928.788024902344 343.019040571838
85 215030.74769592285 527.9373402839709
86 39920.95903015137 309.79290735389236
87 nan nan
88 nan nan
89 242179.9458618164 550.6043362259335
90 13175.523010253906 253.08177796372513
91 10114.974334716797 252.1463212476549
92 9199.106948852539 227.90781101501386
93 10061.888305664062 249.70269098202965
94 nan nan
95 24581.325912475586 279.901080996166
96 9152.565124511719 220.59395229180632
97 24747.333297729492 276.8432882296282
98 7899.721160888672 232.17327063433873
99 10592.660217285156 255.66496550165206
100 nan nan
101 15900.687301635742 263.17793607671155
102 nan nan
103 39936.65347290039 314.4374995632547
104 nan nan
105 nan nan
106 17106.222137451172 260.876953644102
107 12480.140197753906 256.00349018578765
108 nan nan
109 nan nan
110 9740.265075683594 249.07600042687264
111 43777.09358215332 322.32306500410823
112 nan nan
113 163986.45928955078 472.25003027524593
114 921410.7265167236 992.5614006363552
115 234350.44525146484 543.8471988769625
116 nan nan
117 nan nan
118 nan nan
119 26092.269653320312 283.4983846897617
120 39430.40180969238 311.0247357212425
121 53061.31396484375 330.16270962275473
122 154153.2894897461 466.0306889657175
123 nan nan
124 nan nan
125 nan nan
126 nan nan
127 20029.06037902832 260.06118474112964
128 nan nan
129 11212.096649169922 244.14162884168624
130 nan nan
131 nan nan
132 32765.213607788086 301.5290324844861
133 nan nan
134 nan nan
135 nan nan
136 nan nan
137 22352.3985748291 278.1617956479744
138 49088.51332092285 326.8090477194055
139 25578.270217895508 279.31915153731825
140 100935.49276733398 406.3830773997901
141 9797.569427490234 255.49015308374197
142 nan nan
143 nan nan
144 nan nan
145 15788.144500732422 269.8437513288488
146 33217.20344543457 295.19163296738304
147 16408.799224853516 272.9581314231356
148 15625.123275756836 255.39297223440514
149 nan nan
150 11725.765823364258 247.58890470255633
151 27651.70770263672 284.95642131445265
152 67930.31015014648 358.7359928387217
153 nan nan
154 105241.98811340332 407.2286254818849
155 nan nan
156 nan nan
157 19237.565002441406 269.7723717661973
158 nan nan
159 13215.444534301758 266.0490099852118
160 28705.6515045166 288.09924010600616
161 nan nan
