STARNR FLUX FLUXERR
1 116805.78607177734 609.6291224434348
2 23451.25860595703 480.14965382001117
3 nan nan
4 18793.456298828125 500.1356168314637
5 nan nan
6 nan nan
7 6700.232482910156 292.64230604461375
8 33914.806243896484 562.2225879247495
9 nan nan
10 8229.529174804688 350.53899011043904
11 25693.053436279297 502.1488676887014
12 nan nan
13 349307.0408935547 780.4513108818683
14 nan nan
15 14202.743225097656 452.36588355958344
16 14167.822357177734 450.5821100698951
17 nan nan
18 nan nan
19 36634.18600463867 539.0464040848765
20 42740.22189331055 516.3119580494939
21 26131.39862060547 507.0233619318519
22 88589.10235595703 610.2534221598536
23 116212.3872680664 603.3868158960452
24 11033.624694824219 389.4065978821123
25 nan nan
26 nan nan
27 nan nan
28 nan nan
29 nan nan
30 29934.86343383789 524.6568586280179
31 27972.039489746094 523.1541035239383
32 nan nan
33 9038.202667236328 349.19079747784434
34 30220.808532714844 509.6652899341605
35 nan nan
36 nan nan
37 338588.44595336914 769.2428008527726
38 3017488.78125 1812.8626451932078
39 nan nan
40 nan nan
41 nan nan
42 nan nan
43 nan nan
44 nan nan
45 133535.0625 613.1942250656056
46 nan nan
47 17652.55093383789 471.21064797175677
48 nan nan
49 53801.7880859375 539.8730751916552
50 47319.36184692383 534.5354194859856
51 nan nan
52 1503066.66305542 1329.0524401052821
53 nan nan
54 43841.17221069336 548.2730567213407
55 50041.01937866211 569.2065153337484
56 nan nan
57 1183152.6042480469 1202.5741872763278
58 7620.530853271484 313.0175852847724
59 91906.99069213867 573.1833307199664
60 nan nan
61 53231.968353271484 551.0519589054867
62 nan nan
63 83650.01974487305 589.456415068063
64 nan nan
65 128005.21716308594 623.0333191119339
66 18177.089233398438 476.0951859004643
67 138936.4691772461 639.6671082437306
68 31871.490325927734 519.1470839397864
69 nan nan
70 12829.958740234375 451.7631011904004
71 nan nan
72 26849.256134033203 523.4329414447022
73 nan nan
74 7509.889251708984 311.32766482674583
75 66739.97384643555 564.1688706024862
76 63387.93859863281 580.0067323228196
77 739458.9635314941 1006.739299542057
78 101761.94934082031 583.3215735741492
79 nan nan
80 nan nan
81 40778.733337402344 534.4548489205313
82 nan nan
83 nan nan
84 11576.276580810547 427.4573465763454
85 152758.08087158203 640.5066058423484
86 20240.646850585938 478.09860052092637
87 nan nan
88 nan nan
89 582836.2764282227 920.124596725104
90 9091.49722290039 365.34088223958145
91 nan nan
92 9167.632202148438 375.49090496076195
93 nan nan
94 nan nan
95 23157.24853515625 489.6422460468148
96 7398.124786376953 310.13183940463125
97 nan nan
98 nan nan
99 8236.09536743164 347.17127321300063
100 nan nan
101 16676.155517578125 486.95045476089837
102 nan nan
103 23309.406860351562 517.8664077462186
104 nan nan
105 nan nan
106 17133.01055908203 461.01047945834176
107 nan nan
108 nan nan
109 nan nan
110 nan nan
111 43873.906829833984 535.8432020893256
112 nan nan
113 35913.240142822266 528.9844143740294
114 1021993.9008178711 1131.3501830800978
115 150659.09051513672 628.2045655646647
116 nan nan
117 nan nan
118 nan nan
119 26700.52069091797 493.7252116564883
120 37063.33773803711 498.7165382422739
121 48806.59783935547 545.1004780390925
122 130870.34503173828 624.0947086158203
123 nan nan
124 nan nan
125 nan nan
126 nan nan
127 nan nan
128 nan nan
129 nan nan
130 nan nan
131 nan nan
132 30349.113189697266 518.3995770546871
133 nan nan
134 nan nan
135 nan nan
136 nan nan
137 19155.116088867188 495.64581801575196
138 31105.755462646484 520.4735770577438
139 nan nan
140 101899.2709350586 599.8167864499367
141 nan nan
142 nan nan
143 nan nan
144 nan nan
145 8835.489227294922 334.1416673652493
146 28917.010131835938 512.729747087668
147 nan nan
148 11399.75537109375 424.18249902662035
149 nan nan
150 nan nan
151 21484.867645263672 490.79472653292567
152 34581.42739868164 522.2345049628836
153 nan nan
154 70911.34228515625 568.8459830849857
155 nan nan
156 nan nan
157 19771.8359375 495.83030843544003
158 nan nan
159 9760.367004394531 395.7652556418289
160 21398.837951660156 481.20337296950294
161 nan nan
