STARNR FLUX FLUXERR
1 443039.27265930176 724.4156521598054
2 26753.988049615175 298.77346331661073
3 25776.77640212886 296.8777649696488
4 15126.753146879375 269.361835754615
5 nan nan
6 5903.657160455361 225.7006275518141
7 8266.712450683117 237.2039420277947
8 35633.82535850629 329.45090066703017
9 nan nan
10 12675.324821844697 269.1879584930958
11 25489.952414177358 290.7681169318546
12 nan nan
13 282791.4133887291 597.3736399834448
14 13745.669495835202 275.9989018072864
15 13253.620135225356 270.102034016605
16 13026.950697235763 259.75384238139185
17 nan nan
18 6215.67780501768 218.01529006533121
19 58880.21875332296 362.04924599377114
20 48917.89202363789 348.53791299650527
21 25050.519902549684 293.1880093588193
22 82081.99098859727 432.0151098046078
23 121820.25987243652 435.7633400044355
24 39359.77069789171 337.351559774825
25 nan nan
26 nan nan
27 nan nan
28 12773.923606023192 252.72064331296434
29 nan nan
30 32828.68582492089 311.84586477322364
31 25890.01180170849 299.4651194976058
32 nan nan
33 10948.190463006496 245.1543373242389
34 31164.454063631594 309.6087010651809
35 nan nan
36 nan nan
37 288503.8053188324 603.3819249658447
38 3133635.841583252 1854.0943008686672
39 nan nan
40 4237.835198700428 188.67103950141743
41 13337.968568474054 269.6596064105037
42 9165.858038445469 248.8098560797419
43 nan nan
44 nan nan
45 175239.74922895432 499.461655894853
46 nan nan
47 17328.6011762321 282.1500985707326
48 nan nan
49 68036.92696397752 376.5994905428852
50 41397.32339900732 329.2608286728621
51 23650.926239222288 312.1357410616149
52 1567804.094543457 1305.001856461297
53 5993.579557448626 226.81402084500834
54 46815.05841117818 349.5104276113865
55 47331.06854072213 330.7658814461634
56 7071.521330788732 231.39508076667303
57 1750697.3925476074 1377.947709850691
58 7994.874980260618 239.3562567720861
59 143289.38467133045 468.779930408381
60 nan nan
61 61344.69344519777 373.08649566675734
62 nan nan
63 76815.29705782235 386.48434586302193
64 6177.423534745816 224.7453178452703
65 105097.11403366923 421.19538874044645
66 17335.68728378415 278.85403509943217
67 124468.3256431669 443.32964577157065
68 42100.336418285966 327.46536184691917
69 5260.751362621784 209.1126940493117
70 10562.211898997426 250.79066983318663
71 nan nan
72 23686.718417160213 308.70614841419274
73 5327.579738177359 214.326934461853
74 7357.373513437808 235.69647764568938
75 66334.69699893892 367.79668438792777
76 76269.52612931095 405.5773190350987
77 617462.2339375503 962.0908997588552
78 87003.44237312675 397.24911024547345
79 nan nan
80 nan nan
81 40410.08355772495 335.91480379590405
82 4080.362596899271 178.6455948891638
83 4043.3239396959543 182.142191141658
84 24075.781797676813 353.6633291767156
85 179722.8668539524 505.55729168008094
86 33063.29754072428 310.54108452001276
87 nan nan
88 nan nan
89 204845.7685880661 531.0176887080365
90 nan nan
91 8438.248832019046 239.27156114834298
92 nan nan
93 7851.965103305876 242.87799178797263
94 nan nan
95 20331.44255073741 277.2084030853861
96 7686.766346506774 228.4594394736605
97 20306.631375826895 284.52042512700757
98 6186.33534490969 224.0932897888318
99 8377.170778483152 241.3876194867742
100 nan nan
101 13775.11167750135 284.09879110603435
102 5641.955755282193 211.98520481017218
103 32807.48543238267 317.2374550193064
104 nan nan
105 nan nan
106 13633.218311861157 254.61159708201106
107 10112.73646150902 250.26221491892358
108 5856.023154314607 231.67282175719788
109 nan nan
110 7396.922196336091 241.6963215104132
111 36624.65903663635 331.44961155690123
112 nan nan
113 138827.05303999782 456.2864332059497
114 776152.4464111328 933.3671187888929
115 194428.99381542206 514.1377226676458
116 nan nan
117 nan nan
118 5089.183733314276 208.2724643419676
119 21895.335035402328 297.17104913885714
120 33213.33421434462 309.22675703032036
121 43269.64083710313 332.9158896566465
122 130359.32192873955 462.4857236236207
123 6717.163507924415 240.7686697117345
124 nan nan
125 13792.28664112091 309.4237318464325
126 nan nan
127 17120.064021132886 284.2528347118953
128 3521.1595389992 175.61930982392633
129 nan nan
130 5341.105017727241 206.29278479498907
131 4094.2407259442843 175.3811256823421
132 27009.5242764093 303.6273876487355
133 6531.028512828052 246.2799627829259
134 9280.747805897146 273.44489890938354
135 nan nan
136 nan nan
137 18334.995278637856 283.2355235912961
138 40819.73336247727 322.5295178411508
139 20028.181349698454 277.36849556749235
140 84586.12413957715 397.17756300650484
141 8479.829616680741 250.0939440494706
142 nan nan
143 nan nan
144 nan nan
145 12401.98264690023 250.4393210862515
146 26962.808531805873 294.20904248187304
147 13442.192749802023 275.50057477943017
148 12485.246565759182 261.37583195660204
149 nan nan
150 10580.319763559848 257.94465976665657
151 23076.182959511876 290.96953698601754
152 56630.243250221014 350.643724476701
153 nan nan
154 88209.7689397335 393.0479054652252
155 nan nan
156 nan nan
157 15978.613497465849 277.8857510400696
158 nan nan
159 10819.49422916025 264.66165653966914
160 23917.941508844495 296.41021533459286
161 3550.9356885142624 162.37119096688878
