STARNR FLUX FLUXERR
1 22389.84938850999 219.125683711063
2 nan nan
3 nan nan
4 nan nan
5 nan nan
6 nan nan
7 nan nan
8 nan nan
9 nan nan
10 nan nan
11 nan nan
12 nan nan
13 14452.418250054121 193.9538198741505
14 nan nan
15 nan nan
16 nan nan
17 nan nan
18 nan nan
19 2851.52192632854 136.57705975396306
20 2213.999168474227 127.33753804226595
21 nan nan
22 4059.5416189581156 150.21243921065832
23 6033.618766978383 164.4349830866891
24 nan nan
25 nan nan
26 nan nan
27 nan nan
28 nan nan
29 nan nan
30 nan nan
31 nan nan
32 nan nan
33 nan nan
34 nan nan
35 nan nan
36 nan nan
37 14425.232550099492 193.68384482820585
38 161487.43772888184 436.9739800569665
39 nan nan
40 nan nan
41 nan nan
42 nan nan
43 nan nan
44 nan nan
45 8375.045824069064 170.2028620773998
46 nan nan
47 nan nan
48 nan nan
49 3158.684502929449 140.05518814604312
50 2158.3963852748275 131.02501436730932
51 nan nan
52 80431.145778656 327.56512539791703
53 nan nan
54 2296.4592545628548 140.24861859679953
55 2367.153445929289 133.34627228580308
56 nan nan
57 89059.71203613281 340.62110385171405
58 nan nan
59 7040.589551568031 174.65960846294766
60 nan nan
61 3030.0517935706303 140.91461169013226
62 nan nan
63 3801.318965431303 144.309279930037
64 nan nan
65 5138.268967807293 149.27745670053295
66 nan nan
67 6633.986158277839 171.47081103371517
68 2155.664060138166 137.4585681707838
69 nan nan
70 nan nan
71 nan nan
72 nan nan
73 nan nan
74 nan nan
75 3310.425946742296 142.6768421097624
76 3416.3000317513943 141.66851997210398
77 28624.27678823471 234.2739550576879
78 4456.172026574612 160.93914016628577
79 nan nan
80 nan nan
81 2037.3973121158779 132.78479613975566
82 nan nan
83 nan nan
84 nan nan
85 9149.228493452072 177.59143013339278
86 nan nan
87 nan nan
88 nan nan
89 10065.455463200808 179.49537724994914
90 nan nan
91 nan nan
92 nan nan
93 nan nan
94 nan nan
95 nan nan
96 nan nan
97 nan nan
98 nan nan
99 nan nan
100 nan nan
101 nan nan
102 nan nan
103 nan nan
104 nan nan
105 nan nan
106 nan nan
107 nan nan
108 nan nan
109 nan nan
110 nan nan
111 nan nan
112 nan nan
113 7313.801354974508 175.7139272338365
114 39301.908364539966 255.07901954762744
115 10093.703448571265 183.12390578011397
116 nan nan
117 nan nan
118 nan nan
119 nan nan
120 nan nan
121 nan nan
122 6572.238637400791 159.93581252048247
123 nan nan
124 nan nan
125 nan nan
126 nan nan
127 nan nan
128 nan nan
129 nan nan
130 nan nan
131 nan nan
132 nan nan
133 nan nan
134 nan nan
135 nan nan
136 nan nan
137 nan nan
138 nan nan
139 nan nan
140 4375.327860802412 162.0926872293592
141 nan nan
142 nan nan
143 nan nan
144 nan nan
145 nan nan
146 nan nan
147 nan nan
148 nan nan
149 nan nan
150 nan nan
151 nan nan
152 3065.0448498129845 148.43370587770278
153 nan nan
154 4337.398247942328 155.61361973834838
155 nan nan
156 nan nan
157 nan nan
158 nan nan
159 nan nan
160 nan nan
161 nan nan
