STARNR FLUX FLUXERR
1 152868.42036819458 415.4315840195309
2 19278.195162057877 189.47900211885622
3 13357.835673555732 171.18305295507074
4 14123.580830663443 175.73629674762088
5 1862.6396188735962 111.7097337448366
6 1689.3172909021378 104.54462181061217
7 7435.077475339174 152.1951295792719
8 26423.103571087122 207.70635810711264
9 9825.068134218454 168.46965435042208
10 7387.7467663139105 152.08499788113676
11 21842.897930920124 198.24695922520732
12 nan nan
13 285225.89137268066 554.8316663581617
14 3040.4833329590037 129.25160366812185
15 12105.961348235607 166.81345970589513
16 11719.999810874462 168.06554473922134
17 nan nan
18 6476.405614756979 151.06886161316197
19 29893.00845336914 216.84386818246662
20 35756.99740511179 230.74261971984237
21 21178.105546832085 193.35642915211795
22 71059.91786146164 300.4894695880589
23 94664.14834022522 337.5391545167896
24 9080.375964149833 171.71014068375592
25 1893.0727312080562 121.8345246854703
26 6013.467977166176 142.9089490017086
27 nan nan
28 6437.891934484243 143.09044054731746
29 2101.5262520313263 119.41313624748105
30 24169.087531089783 202.18849901191322
31 22716.817494168878 197.85290793440612
32 1867.2127007246017 111.48524148199321
33 8600.98565736413 159.2351455347918
34 25007.167019963264 202.01138062097053
35 nan nan
36 nan nan
37 279312.92697906494 551.5112526403612
38 2491891.333190918 1752.9985317783332
39 2273.866269286722 125.78086531870524
40 4034.6356624886394 140.24319835904384
41 8318.01912732888 161.3770380696637
42 2006.328599087894 120.18449352866288
43 nan nan
44 2881.5070718452334 127.77534657436742
45 109233.73008346558 359.6067825916768
46 3982.082099854946 141.29110886555463
47 15248.87213088572 175.69882090764003
48 nan nan
49 45208.75043833256 256.4059309804583
50 39709.51817819476 243.0367799561169
51 20994.585326716304 197.00210235171008
52 1242739.402923584 1179.0423901470515
53 5410.8061755895615 126.34696394394113
54 35888.55477640778 235.81371848375207
55 39847.70176279545 238.49549847079405
56 nan nan
57 981210.3579406738 1038.3801016654104
58 7535.035238668323 154.5350387741348
59 77647.56395339966 310.1598317990205
60 nan nan
61 43914.19272184372 252.25667503455148
62 nan nan
63 68500.31784725189 296.7124063385205
64 6334.5669418387115 152.76864540194214
65 105327.42813301086 351.69799604628633
66 15398.055032454431 178.65353851102353
67 113258.61695861816 364.00405196145874
68 26268.648000389338 204.99659835970522
69 3893.2708658874035 139.2879323471139
70 9867.06243660301 164.21410111108955
71 nan nan
72 21001.223556041718 199.35611295299805
73 5040.066916245967 139.66411540600225
74 7406.800176292658 163.91554395365188
75 53505.06215360761 272.0420074982703
76 52731.85774350166 267.5621055879918
77 607409.7843170166 807.2114668622385
78 84474.91652679443 322.07324650914944
79 nan nan
80 1839.1576196178794 114.29018234715012
81 33182.963004112244 222.78407095531614
82 3132.702775068581 127.37769120867031
83 4563.00669747591 131.93468185732831
84 10717.213017243892 193.54546752526332
85 126441.41745185852 382.9559862429258
86 17017.634655296803 186.16279266524987
87 2237.380174100399 122.228876609755
88 nan nan
89 479125.4746246338 713.506027057216
90 8599.152284787968 159.04172371488605
91 2840.739827722311 131.60523993544786
92 7805.69415101409 158.56998320992315
93 2460.8807551879436 118.3860591246121
94 nan nan
95 19294.989653021097 185.51304629941808
96 7801.432415805757 148.37719082199118
97 2844.6113303750753 127.54387089543238
98 2867.21418107301 127.1572469286441
99 7799.368602629751 155.70839398738232
100 nan nan
101 13105.734525963664 178.5036402739856
102 5729.176372081041 139.52274049652846
103 17673.909694612026 188.40097848917534
104 nan nan
105 2729.2169237285852 119.46309551694499
106 13810.734116931446 170.64152304883982
107 2427.251446913928 119.45303197424231
108 5062.062324434519 140.35848458916544
109 3540.8887590020895 128.83471769417358
110 nan nan
111 36225.4054684639 228.87819913985672
112 2117.2088799737394 116.27284173826283
113 29729.81826210022 214.70073023735418
114 847043.294845581 949.7646645510588
115 125198.055185318 381.53339546794564
116 2904.6143503189087 138.69456972082196
117 2587.0144296940416 117.8068997536971
118 1848.8158026263118 114.13988819759194
119 22361.131971478462 197.19214252502152
120 30441.413942039013 214.02043032941663
121 39963.770793795586 240.9387953351103
122 107032.93710517883 351.8124336734614
123 6156.080359362066 145.04525342694606
124 1937.0650981198996 115.77881782643834
125 2260.0654482245445 125.5423938836931
126 2222.500860720873 118.56773552322103
127 5886.800682507455 139.13243726128928
128 3346.7795460671186 132.68943862109762
129 3536.8042887188494 137.35336702633714
130 6186.158084928989 149.09272082934456
131 4085.1308115012944 142.60116637449775
132 25465.259962022305 210.57160666869163
133 nan nan
134 4405.38433000911 170.34498774054856
135 nan nan
136 nan nan
137 15729.02867385745 181.8405654872253
138 26044.418432712555 209.44488811069294
139 4982.218033969402 130.3961915507315
140 83999.5389995575 320.7569233243043
141 3394.8082596957684 140.62848812948243
142 nan nan
143 2020.7209003567696 115.74920050919603
144 nan nan
145 8360.211970180273 159.31658710012567
146 24332.830644607544 199.21538389466275
147 4574.549875319004 145.45028901764817
148 10072.660764470696 171.66323264431009
149 nan nan
150 5482.410892903805 141.8565968143654
151 18629.149069815874 194.07214421927026
152 28080.038315847516 211.91101279487577
153 3353.369334459305 143.27090072611762
154 58494.42212533951 279.4896173067096
155 nan nan
156 nan nan
157 15702.112532317638 175.35909831577482
158 nan nan
159 8251.23851147294 167.42934400993065
160 17429.370632708073 189.5229282851132
161 4019.257780395448 148.00994200434275
