RA Dec
90.00316332976436 -31.007910088843165
89.99586793639953 -31.014491603447926
89.99688340097724 -31.01788614539593
90.01943745890954 -31.00735745074919
89.98829598063801 -30.996454504181063
89.98557087404065 -30.99561265746834
90.02926402654013 -31.00948727282813
89.99161073069386 -31.02969431957254
89.99111941585448 -31.03175244602324
90.01499450486929 -31.03210409954728
90.03621564652349 -31.00791588061715
90.02891004349728 -30.989119680519167
89.97216001608966 -30.99479153579908
89.9846622233229 -30.98151429857889
89.97918679449432 -31.033709879778034
90.03593353258263 -30.98855493013951
90.02179574904413 -31.037529564362742
89.96405212331467 -31.016256772736426
89.98073122232239 -30.976846342245427
89.95929416592625 -30.99858920118258
89.99945183455097 -31.046918124880886
89.96163201994213 -30.989967813688946
89.98254160082152 -31.04355033989471
89.96344503612632 -31.029643638052082
90.04783527192083 -31.022512747068138
89.98630329282885 -31.04765732391536
90.05623990022391 -30.99808048770554
90.00295934157997 -31.05424669066415
90.0581844093675 -31.016051567719703
89.9796855797601 -31.051282470597567
89.98724270377161 -31.05389692004909
90.00941913064904 -30.958905022057426
89.99668544888166 -31.05847738661078
89.96287288636786 -30.969824959982184
90.06369061350878 -31.010190150279577
89.95186300477879 -30.979423004391446
90.03271448631034 -30.960025623076277
89.95974786989919 -31.047073688463133
90.00300241325472 -30.953104419705845
89.94152588292836 -31.020732638725868
90.04523698304118 -31.048963546190983
89.95008822047103 -30.977180181646897
90.06048404326141 -30.98297732697431
89.9825932433408 -30.955485725784957
90.03769376580945 -30.960331104248475
90.0687240689872 -31.009718549988364
89.98685484602511 -30.95308579818295
90.06033751533928 -31.03638471157894
90.05091595012878 -31.048362559659676
90.06677904782109 -30.988367971059205
89.99698938874809 -30.94908135166421
89.96086403084148 -31.053978641872988
89.94858637591071 -31.046673987383187
89.93111241575797 -31.00328648364605
89.93094974126141 -31.010525514237628
89.93206071073115 -30.99594948499705
89.9920868133042 -30.945703878287468
90.02144160824885 -30.94563991262716
90.02605846054601 -31.068767479853655
89.98994771827032 -31.072637211821593
90.07857012783052 -30.992120416936856
90.07490395186068 -30.98217429433984
90.03977517614022 -31.06662633743009
90.06715252900719 -30.966985170298777
90.03772261486931 -30.94571025456909
89.98354925016686 -30.939353467331053
89.99908543480656 -30.936377724398042
90.00171964907972 -31.08076998460896
90.0228040440794 -31.079363834709994
90.03325281603765 -30.938352342067905
90.02944700724161 -30.936925868195992
90.07422949747617 -31.05024041036924
90.03985228214277 -30.94023161801921
90.0875679215963 -30.987495283529206
90.09027691461776 -30.992413468009104
90.03410296154897 -31.07919849604942
90.08588872900843 -31.038089110369913
89.96570212579576 -31.07802612539779
89.95743909735423 -30.940450070153858
89.91905863338421 -31.042737229143462
89.93368496570552 -30.95341202548761
90.07412943337314 -31.061418613590856
89.94204068344591 -31.069567603515605
90.04042306829783 -31.083748112937496
90.0675955741275 -31.069619683446863
90.03176522337957 -30.92804519650184
90.05143786860906 -31.080285140565756
89.91074438158628 -31.03427396780813
89.94176834565285 -30.942442996780795
90.03932414466925 -31.086464167058768
89.9044703933247 -31.00537146698333
89.98118134134972 -31.09036677291949
89.96205542833734 -30.928557825194687
89.95726705401621 -30.930433109134547
89.90239427543267 -31.02034156092412
89.98130017838916 -31.093165552555906
89.90107123026456 -31.011853344106054
89.92504132460351 -30.951000143183734
90.05546893733556 -31.084652046614444
90.0009188748116 -31.09679275685913
90.10578578331412 -31.02325531506583
89.9280155166027 -31.06995548238034
90.07606447916834 -31.072573180870712
89.93877201335877 -30.936134455130162
89.89792553142361 -31.01883028822335
89.97143206768962 -31.09457061991083
89.96356152249021 -31.09248082158203
89.92329274606864 -30.94621172880712
89.91629269488011 -31.0620158443599
90.10035242605922 -31.050575836295025
89.89479920581834 -30.99562367216316
90.04340471726618 -31.095715653501916
89.91885242574894 -31.068811426489745
90.08130988103636 -30.939593525170604
89.89585502452336 -31.032592314109685
89.92699399142045 -30.937839475902727
89.89662854516465 -31.037197367151357
90.01540814329375 -31.103738165224193
90.01491948461309 -30.911297031410676
89.89024380135098 -31.012092205211324
89.95870908044577 -31.096927072177134
89.91189100519755 -30.94994370770423
89.93579837780541 -30.92822637090193
89.90586983118983 -30.955821772479936
90.00947791132363 -31.10586750717296
89.94966081721823 -30.920585217901387
89.94608080361088 -30.922053376505172
90.00358606745881 -30.908522835624336
89.91891320212373 -30.93990205266286
89.94018138790761 -30.924439604798554
90.05488738460589 -31.09785310547755
90.08831047977532 -31.07715880293674
89.94425830610693 -31.09484990376014
90.12015564346407 -31.02041481374018
89.92948643266604 -30.92887353914826
90.1035898209423 -30.952854006136285
89.98545705424631 -31.10867964441149
90.07725413560613 -31.088037199729605
89.98970575858938 -31.10944976994425
89.91341968169606 -30.93968853377502
90.12081014992023 -30.982368764104407
90.06113775249493 -31.098881741826876
89.89507764987636 -31.054795427798343
89.95892644225948 -30.910605158695247
90.00376929174176 -31.11203006015545
89.88142748284415 -31.0043342726766
90.1251430929115 -31.003058526804086
90.09523937536073 -30.93890956917769
89.9623192645156 -30.908495706464123
89.88319500739986 -31.031419304796227
90.05026026349722 -31.105297867610147
89.96648109261622 -30.905417738525454
90.11761084493611 -31.05055012995591
90.08078424314229 -31.09351132507417
89.99386094172789 -30.899213611935902
90.1281178340089 -31.028137846765695
89.88425538737604 -30.969383993976194
90.12511134688376 -30.975255557541765
90.13021407826281 -31.01903794237027
90.06611343346391 -30.91237570103685
90.0784856899399 -30.91852822657518
